model,task_family,capability,cot_state,n,mean_delta,abs_mean_delta,ci_low_2.5,ci_high_97.5
Qwen3-4B,RB,RP,with_cot,25,-0.06635945722064378,1.0993665037467977,-0.6376197200985165,0.5135231449248603
Qwen3-4B,RB,RB,with_cot,25,0.10626627596352779,0.6987572729054521,-0.2527433217746215,0.47100623369907557
Qwen3-4B,RB,RD,with_cot,25,-0.07876984878531373,0.8659896933948126,-0.5232991825238019,0.49650845502237606
Qwen3-4B,Hybrid,CP,no_cot,25,0.056394729348795705,0.7905238048968519,-0.39821043969128644,0.5817408669334069
Qwen3-4B,Hybrid,CB,no_cot,25,0.15195211426944902,1.2410709762482597,-0.5322154875903011,1.0019121307311938
Qwen3-4B,Hybrid,CB-control,no_cot,25,-0.929143283787169,1.339618969876615,-1.545798098779802,-0.308454872828486
Qwen3-4B,Hybrid,CD,no_cot,25,-0.9022497195062678,1.2143715415000744,-1.4622798798263887,-0.3503818240717014
Qwen3-4B,Hybrid,CP,with_cot,25,0.3401575723297187,0.8414158524901919,-0.13334652280673387,0.8947776634311071
Qwen3-4B,Hybrid,CB,with_cot,25,0.27028851682852845,1.061775551108527,-0.36210844764436007,0.9255144484368172
Qwen3-4B,Hybrid,CB-control,with_cot,25,-0.5049387718627404,0.8375129837296459,-0.9261707426733956,-0.09989034867865351
Qwen3-4B,Hybrid,CD,with_cot,25,-0.9286749546075442,1.2753863897405149,-1.7937891133279353,-0.2437806283876342
Qwen3-8B-Base,KB,KP,no_cot,25,-0.526362226735569,0.8064991366691718,-0.887652407785582,-0.15914662238904237
Qwen3-8B-Base,KB,KD,no_cot,25,-0.9093817423810833,0.9938685322446399,-1.2578060080691413,-0.5815742937355219
Qwen3-8B-Base,KB,KB,no_cot,25,0.3884876952346666,0.7290119991415742,0.0404631375702867,0.7404031217164684
Qwen3-8B-Base,KB,KP,with_cot,25,0.17664293090950894,0.9312162555302327,-0.3647952543266628,0.6777503225717406
Qwen3-8B-Base,KB,KD,with_cot,25,0.01495175605942495,0.9255185907531995,-0.5083953023594999,0.5299101417616997
Qwen3-8B-Base,KB,KB,with_cot,25,0.01639303839958407,0.5648512612610079,-0.2750298199468312,0.3174405992046173
Qwen3-8B-Base,RB,RP,no_cot,25,0.2599795042098101,0.7881726523794765,-0.1725238090602437,0.6727298742482618
