model,repair_axis,endpoint,metric,target_repair_fraction,fixed_tau_saturating_absolute_error,nearest_q10_absolute_error,log_linear_absolute_error,raw_linear_absolute_error
Qwen/Qwen3-1.7B,EVD,ANS,mean_per_item_nll,0.2,0.048458114110047745,0.04038314714054447,0.004124612446168463,0.004498436785596027
Qwen/Qwen3-1.7B,EVD,Clean,bits_per_byte,0.2,0.008630064265195525,0.005936065619211117,0.0007876023339348226,0.0006939171800091071
Qwen/Qwen3-1.7B,EVD,Clean,mean_per_item_nll,0.2,0.016001336590729665,0.011073994407470256,0.001509501377721545,0.001333096602754491
Qwen/Qwen3-1.7B,EVD,EVD,bits_per_byte,0.2,0.007248646620251709,0.004420906377905043,0.0016181127278713792,0.001533295590528283
Qwen/Qwen3-1.7B,EVD,EVD,mean_per_item_nll,0.2,0.013255468664155945,0.008144925572902917,0.002985502898665615,0.002826751831079388
Qwen/Qwen3-1.7B,EVD,FMT,bits_per_byte,0.2,0.044983017897999744,0.05905648215461268,0.02844528546244085,0.028051417777801735
Qwen/Qwen3-1.7B,EVD,FMT,mean_per_item_nll,0.2,0.0686191377160359,0.09950720232132237,0.03536173495207784,0.034504230399076796
Qwen/Qwen3-1.7B,EVD,PARA,bits_per_byte,0.2,0.007717656200844081,0.004784291962494525,0.0017671361518118989,0.001841663279170458
Qwen/Qwen3-1.7B,EVD,PARA,mean_per_item_nll,0.2,0.014228773797548833,0.008876488312381081,0.0035137101799826986,0.0036462637126657427
Qwen/Qwen3-1.7B,FMT,ANS,bits_per_byte,0.2,0.23838255334893588,0.3213899900071171,0.003053928873857803,0.06084785535063375
Qwen/Qwen3-1.7B,FMT,ANS,mean_per_item_nll,0.2,1.0327137171780958,1.392316033960138,0.0132301386784075,0.2636032461213187
Qwen/Qwen3-1.7B,FMT,Clean,bits_per_byte,0.2,0.25745963032913255,0.339387600475352,0.0067263904024759125,0.05651615924433662
Qwen/Qwen3-1.7B,FMT,Clean,mean_per_item_nll,0.2,0.47611001178551327,0.6277104282102837,0.012696299337398465,0.10549136792983083
